card_id,Name,pos,Superstar?,passive? (display text),Suit,Run Bonus,Short Pass,Deep Pass,Run Coverage,Short Coverage,Deep Coverage,Stamina,Grit,a1_trigger,a1_target,a1_fail_event,a1_cond,a1_cond_val,a1_cond2,a1_cond2_val,a1_effect,a1_effect_val,a2_trigger,a2_target,a2_fail_event,a2_cond,a2_cond_val,a2_cond2,a2_cond2_val,a2_effect,a2_effect_val
00096,Damon Norris,DB,0,If pass is incomplete on 1st down add 2 to your defense's grit,Spades,,,,0,2,2,10,1,OnPass,None,,Down,1,LastPassIncomplete,,ModifyGrit,Self|2,,,,,,,,,
00097,Elijah Reyes,DB,0,If the slot has 2 helmets reduce short pass by 3 this play,Clubs,,,,0,3,2,10,1,OnPass,Self,,SlotIcon,Helmet|>=2,,,AddStat,,,,,,,,,,
00098,Felix Stone,DB,,If coverage guess is correct reduce pass by an extra 1 yard for each helmet icon,Spades,,,,0,2,3,10,2,OnPlay,Self,,CoverageGuess,correct,,,AddStatPerIcon,,,,,,,,,,
00099,Ibrahim Lewis,DB,0,"On consecutive pass plays reduce the second pass by 3, resets after 2nd pass.",Clubs,,,,0,2,3,10,1,OnPass,Self,,Consecutive,ShortPass|>=2,,,AddStat,ShortCoverage|3|1,OnPass,Self,,Consecutive,LongPass|>=2,,,AddStat,DeepCoverage|3|1
00100,Kevin Myers,DB,0,"After an incomplete pass, you may discard 1 card to add 3 grit to your team's defensive pool",Hearts,,,,0,2,2,10,1,OnPass,,,LastPassIncomplete,,,,DiscardChoice,Grit|3|1,,,,,,,,,
00101,Marcus Wells,DB,0,If you have 3 or more DBs reduce deep pass by 4,Hearts,,,,0,0,3,10,2,OnPass,Self,,BoardCount,DB|Self|>=3,,,AddStat,DeepCoverage|4|1,,,,,,,,,
00103,Owen Maxwell,DB,,If your grit is greater than offense on 4th down reduce any pass by 2,Clubs,,,,0,2,1,10,1,OnPlay,Self,,GritCompare,higher,Down,4,AddStat,ShortCoverage|2|1,OnPlay,Self,,GritCompare,higher,Down,4,AddStat,DeepCoverage|2|1
00104,Aaron Miller,DL,,While on the field if your grit is higher reduce run by an additional 2 each play,Clubs,,,,2,0,0,10,2,OnPlay,Self,,GritCompare,higher,,,AddStat,RunCoverage|2|1,,,,,,,,,
00105,Bruce Coleman,DL,,Slot trigger 10 percent chance to force a fumble on run,Diamonds,,,,1,0,0,10,2,OnRun,Self,RunnerFumble,SlotIcon,Wild|>=1,,,,,,,,,,,,,
00106,Charles Hayes,DL,,When placed if offense has 1 or fewer OL reduce their run by 3 this play,Hearts,,,,2,0,0,10,1,OnRun,Self,,BoardCount,OL|Opp|<=1,,,AddStat,RunCoverage|3|1,,,,,,,,,
00107,Damian Garcia,DL,,+2 run bonus on correct run coverage plays,Clubs,,,,3,0,0,10,2,OnRun,Self,,CoverageGuess,correct,,,AddStat,RunCoverage|2|1,,,,,,,,,
00109,Frank Johnson,DL,,If you have at least 2 star DL your run coverage is +2,Clubs,,,,3,0,0,10,2,OnRun,Self,,StarCount,,,,AddStat,RunCoverage|2|1,,,,,,,,,
00110,Benji Adujilo,DL,,"if you have more DL than OL, 50% chance to reduce 1 stamina from highest OL stamina",Spades,,,,0,0,0,0,,OnPlay,Self,,CompareCounts,DL|OL|>,,,AddStat,,,,,,,,,,
00111,Henry Walker,DL,,Charge Up after 5 star icons next run coverage is +6,Hearts,,,,3,0,0,10,2,OnRun,Self,,,,,,Charge,Star|5|RunCoverage|6|1,,,,,,,,,
00112,Keith Ward,DL,,3rd down run bonus +3,Spades,,,,3,0,0,10,2,OnRun,Self,,Down,3,,,AddStat,RunCoverage|3|1,,,,,,,,,
00113,Lewis Rice,DL,0,Slot trigger 5 percent chance to sack if deep pass is called,Hearts,,,,0,0,4,10,1,OnPass,Self,Sack,PlayType,LongPass,SlotIcon,Star|>=2,,,,,,,,,,,
00114,Mark Sanchez,DL,,If you have more DL than offense has OL reduce run and short pass by 3,Diamonds,,,,4,0,0,10,2,OnRun,Self,,CompareCounts,DL|OL|>,,,AddStat,RunCoverage|3|1,,,,,,,,,
00115,Noah Bailey,DL,,"Each time you call correct pass coverage, reduce next run by 3",Hearts,,,,3,0,0,10,1,OnRun,Self,,CoverageGuess,correct,,,AddStat,RunCoverage|3|1,,,,,,,,,
00116,Oscar Green,DL,,If your coverage is run and offense tries short pass reduce short pass by 2,Hearts,,,,3,2,0,10,1,OnPlay,Self,,,,,,AddStat,ShortCoverage|2|1,,,,,,,,,
00117,Ray Medina,DL,,Slot trigger 15 percent chance to cause minus tackle at L.O.S if run is 10 or less at time of slot,Diamonds,,,,3,0,0,10,1,OnRun,Self,TackleForLoss,SlotIcon,Wild|>=1,,,AddStat,,,,,,,,,,
00119,Thomas Clark,DL,,4th down run bonus +5,Clubs,,,,5,0,0,10,2,OnRun,Self,,Down,4,,,AddStat,RunCoverage|5|1,,,,,,,,,
00120,William Ford,DL,0,Charge Up after 3 incomplete passes reduce next run by 6,Diamonds,,,,4,0,0,10,1,OnPass,Self,,LastPassIncomplete,,,,Charge,None|3|RunCoverage|6|2,,,,,,,,,
00121,Xander Pratt,DL,,"If offense gained 15 or more yards last play, run bonus +4",Diamonds,,,,4,0,0,10,1,OnPlay,Self,,YardageGained,Last|>=15,,,AddStat,RunCoverage|4|1,,,,,,,,,
00122,Yuri Owen,DL,,If you have more DL stars than offense has OL stars reduce run by 4,Diamonds,,,,4,0,0,10,2,OnRun,Self,,CompareCounts,DL*|OL*|>,,,AddStat,RunCoverage|4|1,,,,,,,,,
00123,Zach Henderson,DL,0,"if you have more DL than offense has OL, 3 stars = sack on pass play",Spades,,,,0,3,1,10,1,OnPass,Self,,CompareCounts,DL|OL|>,,,AddStat,,,,,,,,,,
00124,Alan Russell,DL,,"if your grit is higher, run bonus +3",Spades,,,,3,0,0,12,4,OnPlay,Self,,GritCompare,higher,,,AddStat,RunCoverage|3|1,,,,,,,,,
00126,Cameron Yates,DL,,,Diamonds,,,,3,0,0,10,1,,,,,,,,,,,,,,,,,,
00127,Darius Underwood,DL,,If you have a LB on the field reduce short pass by 2,Hearts,,,,2,2,0,10,1,OnPlay,Self,,,,,,AddStat,ShortCoverage|2|1,,,,,,,,,
00128,William Adams,LB,0,"If your total star players is at least 2 more than offense, deep pass bonus +2",Clubs,,,,0,4,0,10,2,OnPass,Self,,StarCount,ALL|Self|>=1,,,AddStat,ShortCoverage|2|1,,,,,,,,,
00129,Xavier Morris,LB,,If offense runs on consecutive downs reduce the second run by 3,Diamonds,,,,3,0,0,10,3,OnRun,Self,,Consecutive,Run|>=2,,,AddStat,RunCoverage|3|1,,,,,,,,,
00131,Zachary Bell,LB,1,grit is tied or higher short pass bonus +5,Hearts,,,,1,3,1,12,3,OnPlay,Self,,GritCompare,higher_or_tied,,,AddStat,ShortCoverage|5|1,,,,,,,,,
00132,Allan Boyd,LB,0,"if there are 5 or less plays remaining in the half, short pass has 30% chance to fumble",Spades,,,,1,2,0,10,1,OnPass,Self,QBFumble,PlaysLeft,<=5,SlotIcon,Star|>=1,,,,,,,,,,,
00134,Corey Wolfe,LB,,If you have 2 + LBs in play add 2 grit,Clubs,,,,2,1,0,10,2,OnPlay,None,,BoardCount,LB|Self|>=2,,,ModifyGrit,Self|2,,,,,,,,,
00135,Dylan James,LB,0,"If offense discards a card, reduce next pass by 3",Diamonds,,,,2,2,0,10,1,OnDiscard,Self,,,,,,AddStat,ShortPassCoverage|3|2,,,,,,,,,
00138,Gordon Ward,LB,,On 4th down if pass is incomplete add 2 to your grit,Spades,,,,1,2,1,10,2,OnPlay,Self,,Down,4,,,ModifyGrit,Self|2,,,,,,,,,
00139,Harvey Lambert,LB,,If your grit is lower you may add 1 grit each time you see a star icon this drive,Spades,,,,0,2,0,10,1,OnPlay,Self,,,,,,ModifyGrit,Self|1,,,,,,,,,
00140,Ian Cox,LB,,If a TE is not on field reduce short pass by 3,Spades,,,,1,2,0,10,3,OnPlay,Self,,BoardCount,TE|Opp|==0,,,AddStat,ShortCoverage|3|1,,,,,,,,,
00141,Joseph Fuller,LB,,If you have 3 or more LB on the field reduce run by 4,Diamonds,,,,4,0,0,10,2,OnRun,Self,,BoardCount,LB|Self|>=3,,,AddStat,RunCoverage|4|1,,,,,,,,,
00143,Nicholas Payne,LB,0,+2 pass bonuses on 1st down,Diamonds,,,,0,2,1,10,1,OnPass,Self,,Down,1,,,AddStat,ShortCoverage|2|1,,,,,,,,,
00002,Marcus Boone,OL,0,[On Pass] On Wild: No yard loss.         ,Spades,0,1,1,,,,12,2,OnPass,Self,,SlotIcon,Wild|>=1,,,PreventLoss,,,,,,,,,,
00004,Tony Carter,OL,0,[On Run] Inside the 5-yard line: Touchdown.,Spades,0,0,0,,,,12,2,OnRun,Self,,FieldPos,GoalLine,,,MANUAL,,,,,,,,,,
00005,Dominic Lawson,OL,0,[On Play] On 4th down: All your players gain 1 stamina,Hearts,0,2,0,,,,12,1,OnPlay,None,,Down,4,,,ModifyStamina,Team|1,,,,,,,,,
00006,Ezekiel Monroe,OL,0,Bonuses only occur if O Line star players outnumbers D Line star players,Spades,6,0,0,,,,12,2,OnPlay,Self,,CompareCounts,OL|DL|>,,,AddStat,,,,,,,,,,
00009,Maxwell Payne,OL,0,"Charge up: 20 helmets, +20 to next run",Spades,1,0,0,,,,12,1,OnRun,Self,,,,,,Charge,Helmet|20|RunBonus|20|1,,,,,,,,,
00010,Jon Holloway,OL,0,Every time you draw a card +1 to run bonus,Hearts,-4,1,0,,,,12,2,OnRun,None,,,,,,DrawCard,1,,,,,,,,,
00011,Desmond Wallace,OL,0,run bonus +2 after every consecutive run. resets after first non-run,Spades,1,0,0,,,,12,1,OnRun,Self,,,,,,StackStat,RunBonus|Run|2|0,,,,,,,,,
00013,Isaiah Foster,OL,0,Does not count toward your coaches O line max,Clubs,1,2,0,,,,12,1,OnPass,Self,,,,,,AddStat,,,,,,,,,,
00014,Jamal Blackwood,OL,0,add 2 to other O line short pass bonus,Hearts,1,-2,0,,,,12,1,OnPass,AllBoard,,,,,,AddStat,,,,,,,,,,
00015,Quincy Maddox,OL,0,"If 3 or less stamina, +2 on each bonus",Spades,1,0,0,,,,7,2,OnPlay,Self,,StaminaCheck,Self|<=3,,,AddStat,,,,,,,,,,
00018,Elijah Grady,OL,0,Every time you see at least 2 Stars on slot add +2 short pass this drive,Diamonds,0,2,0,,,,10,1,OnPass,Self,,SlotIcon,Star|>=2,,,AddStat,ShortPassBonus|2|1,,,,,,,,,
00020,"Quentin ""Bear"" Dawson",OL,0,If your short pass is completed for 7 or fewer yards draw 1 card,Hearts,0,2,0,,,,10,2,OnPass,None,,YardageGained,<=7,,,DrawCard,1,,,,,,,,,
00021,Mo Faletutulu,OL,0,If your run nets 10 or less yards you may discard 1 card to add +6 more yards,Hearts,1,1,0,,,,10,1,OnRun,,,YardageGained,<=10,,,DiscardChoice,RunBonus|6|1,,,,,,,,,
00022,Duece Watson,OL,0,If the defense has 2 or fewer stars add +3 run,Spades,3,0,0,,,,10,1,OnRun,Self,,StarCount,ALL|Opp|<=2,,,AddStat,RunBonus|3|1,,,,,,,,,
00025,Julius Dixon,OL,0,If you have 6 or more cards in hand short pass gets +2,Hearts,0,2,0,,,,10,1,OnPass,Self,,HandCount,>=6,,,AddStat,ShortPassBonus|2|1,,,,,,,,,
00026,Desean Collins,OL,0,Add +1 run for each consecutive run up to +5 then reset if pass is called,Spades,1,0,0,,,,11,1,OnRun,Self,,,,,,StackStat,RunBonus|Run|1|5,,,,,,,,,
00027,Dean Matthers,OL,0,If the defense has no DL star in play add +3 run,Spades,3,0,0,,,,10,,OnPlay,Self,,StarCount,DL|Opp|==0,,,AddStat,,,,,,,,,,
00028,Dan Van Pow,OL,0,Each time a pass is incomplete you may draw 1 card and discard 1 card,Hearts,0,0,1,,,,10,1,OnPass,None,,LastPassIncomplete,,,,DrawCard,1,,,,,,,,,
00029,Lucas Kingston,OL,0,If you completed a short pass last play add +2 run this play,Clubs,2,0,0,,,,10,,OnRun,Self,,LastPlayType,ShortPass,,,AddStat,RunBonus|2|1,,,,,,,,,
00030,Reggie Carrier,OL,1,Ongoing effect add +1 run for every run call then reset if pass is called,Clubs,4,1,1,,,,12,1,OnRun,Self,,,,,,AddStat,RunBonus|1|1,,,,,,,,,
00032,Jonah Wade,OL,0,Each time you discard a card add +1 to short pass,Hearts,0,3,0,,,,10,1,OnDiscard,Self,,,,,,AddStat,ShortPassBonus|1|99,,,,,,,,,
00033,Tre Rostic,OL,0,Charge Up after 8 football icons add +5 run on next running play,Clubs,2,0,0,,,,10,,OnRun,Self,,,,,,Charge,Football|8|RunBonus|5|1,,,,,,,,,
00034,Cal Tice,OL,0,If your hand is empty this card adds +3 to run else adds +1,Spades,3,0,0,,,,10,,OnRun,Self,,HandCount,<=0,,,AddStat,RunBonus|3|1,,,,,,,,,
00036,Jett Benson,OL,0,If the previous play lost yardage add +6 run on this play,Spades,3,0,0,,,,10,,OnRun,Self,,LastPlayType,Run,,,AddStat,RunBonus|6|1,,,,,,,,,
00038,DeAndre Torrence,OL,0,On 4th down add +2 to run or short pass if you have 2 or more OL in play,Diamonds,2,2,0,,,,10,,OnPlay,Self,,Down,4,,,AddStat,ShortPassBonus|2|1,,,,,,,,,
00040,Andre Strickland,OL,0,On each run play if you gained 15 or more yards draw 1 card,Hearts,1,0,0,,,,12,,OnRun,None,,YardageGained,>=15,,,DrawCard,1,,,,,,,,,
00042,Jalen White,OL,0,If you control more OL than your opponent has total defensive players add +2 run,Spades,2,0,0,,,,10,,OnRun,Self,,CompareCounts,OL|DL|>,,,AddStat,RunBonus|2|1,,,,,,,,,
00043,Dom Garrett,OL,0,If the defense guesses incorrectly add +2 to run and short pass for this play,Diamonds,2,0,1,,,,8,,OnPlay,Self,,CoverageGuess,wrong,,,AddStat,ShortPassBonus|2|1,,,,,,,,,
00045,Trent Hawthorne,QB,0,Add +5 yards on 4th downs.,Hearts,0,2,3,,,,35,,OnPlay,Self,,Down,4,,,AddStat,,,,,,,,,,
00046,Max Rourke,QB,0,"On Long Pass plays, draw 1 card after completion",Diamonds,0,2,2,,,,35,,OnPlay,None,,,,,,DrawCard,1,,,,,,,,,
00048,Nash Thornton,QB,0,Opponent discards a card when you throw an incomplete pass,Diamonds,0,4,2,,,,35,,OnPass,None,,LastPassIncomplete,,,,DiscardCard,Opponent,,,,,,,,,
00049,Malik Rhodes,RB,0,+15 short pass slot trigger 15%,Hearts,1,2,0,,,,12,,OnPass,Self,,SlotIcon,Wild|>=1,,,AddStat,ShortPassBonus|15|1,,,,,,,,,
00050,Xavier Knight,RB,0,+2 yard on runs for every OL on field,Spades,2,0,2,,,,12,,OnPlay,Self,,,,,,MANUAL,,,,,,,,,,
00051,Donovan West,RB,0,Add +5 yards to any Run play with SLOT 25%,Diamonds,2,1,1,,,,12,,OnRun,Self,,SlotIcon,Helmet|>=2,,,AddStat,RunBonus|5|1,,,,,,,,,
00052,Kyler Hawkins,RB,0,set the tone: +5 yards on first downs,Spades,3,1,0,,,,12,,OnPlay,Self,,Down,1,,,AddStat,,,,,,,,,,
00053,Deion McCall,RB,0,Sit out every 3rd down,Spades,4,1,0,,,,12,,StartOfTurn,Self,,Down,3,,,ReturnToHand,,,,,,,,,,
00054,Raylan Brooks,RB,0,checkdown: gain 3 yards if slots roll incomplete,Clubs,2,1,0,,,,12,,OnPlay,Self,,SlotIcon,,,,AddStat,,,,,,,,,,
00055,Keenan Frost,RB,0,"First Snap: if it is 4th down, run bonus is +16 this play",Diamonds,1,2,1,,,,5,,OnPlay,Self,,Down,4,FirstSnap,,AddStat,,,,,,,,,,
00056,Marcus Valdez,RB,0,slot trigger: 10 percent chance to fumble on run,Clubs,7,2,0,,,,10,,OnRun,Self,RunnerFumble,SlotIcon,Wild|>=1,,,AddStat,,,,,,,,,,
00057,Isaiah Haynes,RB,0,First Snap: If your O line includes at least 1 star player run bonus becomes +5,Clubs,2,2,0,,,,8,,OnRun,Self,,FirstSnap,ALL|Self|>=1,StarCount,OL|Self|>=1,AddStat,RunBonus|5|1,,,,,,,,,
00058,Jace Whitaker,RB,0,If short pass gains 15 or more yards draw 1 card,Hearts,1,2,0,,,,9,,OnPass,None,,YardageGained,>=15,,,DrawCard,1,,,,,,,,,
00059,Damien Vaughn,RB,0,For each consecutive run add +1 run up to +3 then reset if a pass is called,Spades,2,2,1,,,,10,,OnRun,Self,,,,,,StackStat,RunBonus|Run|1|3,,,,,,,,,
00060,Preston Ward,RB,0,.+2 short pass if defense has 1 or fewer LB,Diamonds,1,2,0,,,,10,,OnPass,Self,,BoardCount,LB|Opp|<=1,,,AddStat,ShortPassBonus|2|1,,,,,,,,,
00061,Zaire Lawson,RB,0,slot trigger: 5 percent chance to break for +15 extra yards on short pass,Hearts,1,2,0,,,,10,,OnPass,Self,,SlotIcon,Star|>=2,,,AddStat,ShortPassBonus|15|1,,,,,,,,,
00062,Myles King,RB,0,"If you run on 1st or 2nd down and gain 8 or fewer yards, draw 1 card",Hearts,2,0,2,,,,10,,OnRun,None,,YardageGained,<=8,Down,<=2,DrawCard,1,,,,,,,,,
00063,Jermaine Cross,RB,0,if you have 3 or more OL in play your next run is +4,Spades,4,0,0,,,,10,,OnRun,Self,,BoardCount,OL|Self|>=3,,,AddStat,RunBonus|4|1,,,,,,,,,
00064,Derek Castillo,RB,0,"If you play a play enhancer, add +2 short pass",Diamonds,2,2,0,,,,9,,OnPlay,Self,,PlayEnhancerPlayed,,,,AddStat,ShortPassBonus|2|1,,,,,,,,,
00065,Landon Pierce,RB,0,Short pass +5 if you have a TE and your run gained 10 or more yards last play,Clubs,0,3,1,,,,10,,OnPass,Self,,YardageGained,Last|>=10,BoardCount,TE|Self|>=1,AddStat,ShortPassBonus|5|1,,,,,,,,,
00066,Keon Greene,RB,0,"If defense has a pass coverage, run bonus +3",Diamonds,2,1,0,,,,7,,OnPlay,Self,,CoverageGuess,correct,,,AddStat,ShortPassBonus|3|1,,,,,,,,,
00067,Grady Shaw,TE,0,`+3 yards on deep pass plays preceded by a run play,Clubs,1,0,1,,,,12,,OnPlay,Self,,LastPlayType,Run,,,AddStat,,,,,,,,,,
00069,Brooks McAllister,TE,0,boost rb run bonus if 1+ star on a run play,Clubs,2,0,0,,,,12,,OnRun,Self,,SlotIcon,Star|>=1,,,AddStat,,,,,,,,,,
00070,Jaxon Monroe,WR,0,Long passes gain +8 yards if SLOT 25%,Clubs,0,1,1,,,,12,,OnPass,Self,,SlotIcon,Helmet|>=2,,,AddStat,DeepPassBonus|8|1,,,,,,,,,
00071,Rashad James,WR,0,Deep pass bonus increases +1 with every star on slots,Clubs,0,2,-3,,,,12,,OnPass,Self,,SlotIcon,Star|>=1,,,AddStatPerIcon,Star|DeepPassBonus|1,,,,,,,,,
00072,Roman Castillo-Hampton,WR,0,Wrenches decrease short pass bonus by 1,Diamonds,0,4,3,,,,12,,OnPlay,Self,,SlotIcon,Wrench|>=1,,,AddStatPerIcon,Wrench|ShortPassBonus|-1,,,,,,,,,
00073,Trent Bishop,WR,0,Add +3 yards to pass plays when inside the red zone.,Diamonds,0,2,0,,,,12,,OnPlay,Self,,FieldPos,InRedZone,,,AddStat,,,,,,,,,,
00074,Adam Carter,WR,0,If pass completes with at least 1 star on slots add 5 yards per star else subtract 5 total if 0 stars,Clubs,0,2,3,,,,10,,OnPass,Self,,SlotIcon,Star|>=1,,,AddStatPerIcon,,,,,,,,,,
00075,Caleb Marshall,WR,0,If you have another WR on field deep pass bonus gets +3 yards,Diamonds,0,1,3,,,,10,,OnPass,Self,,BoardCount,WR|Self|>=2,,,AddStat,DeepPassBonus|3|1,,,,,,,,,
00076,Damien Price,WR,0,When placed if your short pass was completed last play draw 1 card,Spades,0,2,0,,,,10,,OnPlay,None,,LastPlayType,ShortPass,,,DrawCard,1,,,,,,,,,
00077,Ethan White,WR,0,If no star icons appear on a completed pass lose 5 yards from total gain,Diamonds,0,3,3,,,,10,,OnPass,Self,,SlotIcon,Star|>=1,,,AddStat,,,,,,,,,,
00078,Francis Brewer,WR,0,wrong defensive coverage: +4 short pass bonus this play,Spades,0,4,0,,,,10,,OnPass,Self,,CoverageGuess,wrong,,,AddStat,ShortPassBonus|4|1,,,,,,,,,
00079,George Barnes,WR,0,slot trigger 5 percent chance to gain +10 yards on deep pass,Hearts,0,1,4,,,,10,,OnPass,Self,,SlotIcon,Star|>=2,,,AddStat,DeepPassBonus|10|1,,,,,,,,,
00081,Isaac Hill,WR,0,If you have 2 or more WR in play each star icon adds +3 yards to short pass,Diamonds,0,3,1,,,,11,,OnPass,Self,,BoardCount,WR|Self|>=2,,,AddStat,ShortPassBonus|3|1,,,,,,,,,
00082,Kevin Gray,WR,0,`+4 pass bonuses on 3rd downs,Spades,0,3,2,,,,10,,OnPass,Self,,Down,3,,,AddStat,,,,,,,,,,
00083,Leonard Sanders,WR,0,If the previous play was a run of 10 or more yards add +3 to short pass,Hearts,0,3,0,,,,10,,OnPlay,Self,,LastPlayType,Run,,,AddStat,ShortPassBonus|3|1,,,,,,,,,
00084,Mark Jordan,WR,0,If your QB is a superstar this WR adds +4 yards to his deep pass,Hearts,0,1,2,,,,10,,OnPass,Self,,,,,,AddStat,DeepPassBonus|4|1,,,,,,,,,
00086,Quincy Miller,WR,0,If you have a TE on the field add +3 to short pass and +1 to deep pass,Diamonds,0,3,1,,,,10,,OnPass,Self,,BoardCount,TE|Self|>=1,,,AddStat,,,,,,,,,,
00088,Ulysses Turner,WR,0,If you have 2 or more star OL add +4 yards short pass bonus,Clubs,0,4,0,,,,10,,OnPass,Self,,StarCount,OL|Self|>=2,,,AddStat,ShortPassBonus|4|1,,,,,,,,,
00089,Yahir Ross,WR,0,If you have at least 3 WR in play your deep pass gains +3,Clubs,0,0,3,,,,10,,OnPass,Self,,,,,,AddStat,DeepPassBonus|3|1,,,,,,,,,
00091,Derek West,WR,0,After every incomplete pass add 3 to deep pass,Clubs,0,5,0,,,,10,,OnPass,Self,,LastPassIncomplete,,,,AddStat,,,,,,,,,,
00092,Jon Lee,WR,0,On 4th down if you complete a pass add +5 yards,Hearts,0,3,2,,,,10,,OnPass,Self,,Down,4,,,AddStat,,,,,,,,,,
00093,Kevin Ross,WR,0,If you have exactly 1 other WR in play add +4 to short pass,Hearts,0,4,1,,,,10,,OnPass,Self,,BoardCount,WR|Self|>=2,,,AddStat,ShortPassBonus|4|1,,,,,,,,,
00094,Martin Green,WR,0,First Snap:  if your total OL are 3 or more add +3 deep pass,Hearts,0,0,3,,,,10,,OnPass,Self,,,,,,AddStat,DeepPassBonus|3|1,,,,,,,,,
00095,Oliver Gray,WR,0,slot trigger 10 percent chance to force your opponent to discard 1 card if pass is incomplete,Clubs,0,2,2,,,,10,,OnPass,Self,,SlotIcon,Wild|>=1,,,DiscardCard,Opponent,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
